../../data/ACM
2024-12-18 18:04:15
Graph(num_nodes=10942, num_edges=558748,
      ndata_schemes={}
      edata_schemes={})
4
model using: slotGAT
Epoch 00000 | Train_Loss: 1.2081 | train Time: 0.4800 | Val_Loss 1.2167 | val Time(s) 0.0429
Epoch 00001 | Train_Loss: 1.1931 | train Time: 0.0904 | Val_Loss 1.2272 | val Time(s) 0.0660
Epoch 00002 | Train_Loss: 1.1780 | train Time: 0.0985 | Val_Loss 1.2086 | val Time(s) 0.0650
Epoch 00003 | Train_Loss: 1.1569 | train Time: 0.0894 | Val_Loss 1.1615 | val Time(s) 0.0643
Epoch 00004 | Train_Loss: 1.1187 | train Time: 0.0949 | Val_Loss 1.1162 | val Time(s) 0.0639
Epoch 00005 | Train_Loss: 1.0847 | train Time: 0.0905 | Val_Loss 1.1004 | val Time(s) 0.0644
Epoch 00006 | Train_Loss: 1.0937 | train Time: 0.1261 | Val_Loss 1.1007 | val Time(s) 0.0816
Epoch 00007 | Train_Loss: 1.1017 | train Time: 0.0890 | Val_Loss 1.1000 | val Time(s) 0.0760
Epoch 00008 | Train_Loss: 1.0975 | train Time: 0.0886 | Val_Loss 1.0985 | val Time(s) 0.0652
Epoch 00009 | Train_Loss: 1.0852 | train Time: 0.0912 | Val_Loss 1.1197 | val Time(s) 0.0640
Epoch 00010 | Train_Loss: 1.0869 | train Time: 0.0908 | Val_Loss 1.1458 | val Time(s) 0.0714
Epoch 00011 | Train_Loss: 1.0983 | train Time: 0.0993 | Val_Loss 1.1201 | val Time(s) 0.0730
Epoch 00012 | Train_Loss: 1.0908 | train Time: 0.0900 | Val_Loss 1.0987 | val Time(s) 0.0644
Epoch 00013 | Train_Loss: 1.0869 | train Time: 0.0895 | Val_Loss 1.0957 | val Time(s) 0.0639
Epoch 00014 | Train_Loss: 1.0876 | train Time: 0.0924 | Val_Loss 1.0957 | val Time(s) 0.0640
Epoch 00015 | Train_Loss: 1.0908 | train Time: 0.0902 | Val_Loss 1.0972 | val Time(s) 0.0819
Epoch 00016 | Train_Loss: 1.0846 | train Time: 0.0974 | Val_Loss 1.0996 | val Time(s) 0.0650
Epoch 00017 | Train_Loss: 1.0824 | train Time: 0.0896 | Val_Loss 1.1018 | val Time(s) 0.0649
Epoch 00018 | Train_Loss: 1.0902 | train Time: 0.0897 | Val_Loss 1.1042 | val Time(s) 0.0664
Epoch 00019 | Train_Loss: 1.0797 | train Time: 0.0907 | Val_Loss 1.1055 | val Time(s) 0.0782
Epoch 00020 | Train_Loss: 1.0790 | train Time: 0.0899 | Val_Loss 1.1051 | val Time(s) 0.0650
Epoch 00021 | Train_Loss: 1.0824 | train Time: 0.0899 | Val_Loss 1.1037 | val Time(s) 0.0655
Epoch 00022 | Train_Loss: 1.0789 | train Time: 0.0899 | Val_Loss 1.1010 | val Time(s) 0.0672
Epoch 00023 | Train_Loss: 1.0799 | train Time: 0.0899 | Val_Loss 1.0967 | val Time(s) 0.0753
Epoch 00024 | Train_Loss: 1.0717 | train Time: 0.0949 | Val_Loss 1.0901 | val Time(s) 0.0692
Epoch 00025 | Train_Loss: 1.0723 | train Time: 0.0899 | Val_Loss 1.0805 | val Time(s) 0.0668
Epoch 00026 | Train_Loss: 1.0672 | train Time: 0.0889 | Val_Loss 1.0677 | val Time(s) 0.0639
Epoch 00027 | Train_Loss: 1.0606 | train Time: 0.0901 | Val_Loss 1.0500 | val Time(s) 0.0690
Epoch 00028 | Train_Loss: 1.0486 | train Time: 0.0897 | Val_Loss 1.0241 | val Time(s) 0.0647
Epoch 00029 | Train_Loss: 1.0350 | train Time: 0.0912 | Val_Loss 0.9858 | val Time(s) 0.0640
Epoch 00030 | Train_Loss: 0.9920 | train Time: 0.0904 | Val_Loss 0.9116 | val Time(s) 0.0664
Epoch 00031 | Train_Loss: 0.9712 | train Time: 0.0893 | Val_Loss 0.7860 | val Time(s) 0.0637
Epoch 00032 | Train_Loss: 0.9418 | train Time: 0.0913 | Val_Loss 0.7829 | val Time(s) 0.0682
Epoch 00033 | Train_Loss: 0.9025 | train Time: 0.0893 | Val_Loss 0.7505 | val Time(s) 0.0650
Epoch 00034 | Train_Loss: 0.8502 | train Time: 0.0912 | Val_Loss 0.7502 | val Time(s) 0.0649
Epoch 00035 | Train_Loss: 0.8491 | train Time: 0.0979 | Val_Loss 0.8019 | val Time(s) 0.0640
Epoch 00036 | Train_Loss: 0.8716 | train Time: 0.0901 | Val_Loss 0.7415 | val Time(s) 0.0650
Epoch 00037 | Train_Loss: 0.8363 | train Time: 0.0894 | Val_Loss 0.7075 | val Time(s) 0.0658
Epoch 00038 | Train_Loss: 0.8186 | train Time: 0.0889 | Val_Loss 0.6986 | val Time(s) 0.0642
Epoch 00039 | Train_Loss: 0.8018 | train Time: 0.0996 | Val_Loss 0.7101 | val Time(s) 0.0646
Epoch 00040 | Train_Loss: 0.7791 | train Time: 0.0906 | Val_Loss 0.7089 | val Time(s) 0.0690
Epoch 00041 | Train_Loss: 0.7641 | train Time: 0.0887 | Val_Loss 0.6964 | val Time(s) 0.0639
Epoch 00042 | Train_Loss: 0.7664 | train Time: 0.0898 | Val_Loss 0.6871 | val Time(s) 0.0674
Epoch 00043 | Train_Loss: 0.7435 | train Time: 0.0941 | Val_Loss 0.6755 | val Time(s) 0.0652
Epoch 00044 | Train_Loss: 0.7519 | train Time: 0.0901 | Val_Loss 0.6677 | val Time(s) 0.1128
Epoch 00045 | Train_Loss: 0.7278 | train Time: 0.0897 | Val_Loss 0.6859 | val Time(s) 0.0644
Epoch 00046 | Train_Loss: 0.7486 | train Time: 0.0907 | Val_Loss 0.6700 | val Time(s) 0.0649
Epoch 00047 | Train_Loss: 0.7402 | train Time: 0.0934 | Val_Loss 0.6447 | val Time(s) 0.0670
Epoch 00048 | Train_Loss: 0.7089 | train Time: 0.0889 | Val_Loss 0.6396 | val Time(s) 0.0762
Epoch 00049 | Train_Loss: 0.7238 | train Time: 0.0903 | Val_Loss 0.6618 | val Time(s) 0.0646
Epoch 00050 | Train_Loss: 0.7013 | train Time: 0.0896 | Val_Loss 0.6814 | val Time(s) 0.0637
Epoch 00051 | Train_Loss: 0.7290 | train Time: 0.0890 | Val_Loss 0.6602 | val Time(s) 0.0643
Epoch 00052 | Train_Loss: 0.7032 | train Time: 0.0895 | Val_Loss 0.6197 | val Time(s) 0.0637
Epoch 00053 | Train_Loss: 0.6871 | train Time: 0.0882 | Val_Loss 0.6150 | val Time(s) 0.0667
Epoch 00054 | Train_Loss: 0.7168 | train Time: 0.0900 | Val_Loss 0.5927 | val Time(s) 0.0665
Epoch 00055 | Train_Loss: 0.6783 | train Time: 0.0907 | Val_Loss 0.6142 | val Time(s) 0.0638
