../../data/Freebase
2024-12-18 17:58:09
Graph(num_nodes=180098, num_edges=1623206,
      ndata_schemes={}
      edata_schemes={})
8
model using: slotGAT
Epoch 00000 | Train_Loss: 2.0073 | train Time: 0.8899 | Val_Loss 1.6545 | val Time(s) 0.1672
Epoch 00001 | Train_Loss: 1.8087 | train Time: 0.5709 | Val_Loss 1.6051 | val Time(s) 0.1794
Epoch 00002 | Train_Loss: 1.7365 | train Time: 0.5737 | Val_Loss 1.5861 | val Time(s) 0.1591
Epoch 00003 | Train_Loss: 1.6988 | train Time: 0.5683 | Val_Loss 1.5774 | val Time(s) 0.1607
Epoch 00004 | Train_Loss: 1.6633 | train Time: 0.5713 | Val_Loss 1.5719 | val Time(s) 0.1601
Epoch 00005 | Train_Loss: 1.6468 | train Time: 0.5716 | Val_Loss 1.5682 | val Time(s) 0.1594
Epoch 00006 | Train_Loss: 1.6273 | train Time: 0.5702 | Val_Loss 1.5657 | val Time(s) 0.1691
Epoch 00007 | Train_Loss: 1.6272 | train Time: 0.5776 | Val_Loss 1.5635 | val Time(s) 0.1636
Epoch 00008 | Train_Loss: 1.6054 | train Time: 0.5810 | Val_Loss 1.5616 | val Time(s) 0.1603
Epoch 00009 | Train_Loss: 1.6082 | train Time: 0.5696 | Val_Loss 1.5594 | val Time(s) 0.1624
Epoch 00010 | Train_Loss: 1.5916 | train Time: 0.5753 | Val_Loss 1.5570 | val Time(s) 0.1691
Epoch 00011 | Train_Loss: 1.5886 | train Time: 0.5713 | Val_Loss 1.5541 | val Time(s) 0.1589
Epoch 00012 | Train_Loss: 1.5827 | train Time: 0.5709 | Val_Loss 1.5510 | val Time(s) 0.1730
Epoch 00013 | Train_Loss: 1.5811 | train Time: 0.5682 | Val_Loss 1.5475 | val Time(s) 0.1597
Epoch 00014 | Train_Loss: 1.5682 | train Time: 0.5712 | Val_Loss 1.5436 | val Time(s) 0.1593
Epoch 00015 | Train_Loss: 1.5660 | train Time: 0.5683 | Val_Loss 1.5392 | val Time(s) 0.1605
Epoch 00016 | Train_Loss: 1.5659 | train Time: 0.5722 | Val_Loss 1.5344 | val Time(s) 0.1601
Epoch 00017 | Train_Loss: 1.5580 | train Time: 0.5797 | Val_Loss 1.5292 | val Time(s) 0.1580
Epoch 00018 | Train_Loss: 1.5585 | train Time: 0.5704 | Val_Loss 1.5236 | val Time(s) 0.1685
Epoch 00019 | Train_Loss: 1.5481 | train Time: 0.5698 | Val_Loss 1.5175 | val Time(s) 0.1606
Epoch 00020 | Train_Loss: 1.5392 | train Time: 0.5691 | Val_Loss 1.5108 | val Time(s) 0.1595
Epoch 00021 | Train_Loss: 1.5325 | train Time: 0.5692 | Val_Loss 1.5036 | val Time(s) 0.1658
Epoch 00022 | Train_Loss: 1.5148 | train Time: 0.5728 | Val_Loss 1.4960 | val Time(s) 0.1587
Epoch 00023 | Train_Loss: 1.5135 | train Time: 0.5673 | Val_Loss 1.4882 | val Time(s) 0.1600
Epoch 00024 | Train_Loss: 1.5094 | train Time: 0.5802 | Val_Loss 1.4805 | val Time(s) 0.1591
Epoch 00025 | Train_Loss: 1.4964 | train Time: 0.5686 | Val_Loss 1.4731 | val Time(s) 0.1627
Epoch 00026 | Train_Loss: 1.4854 | train Time: 0.5754 | Val_Loss 1.4660 | val Time(s) 0.1589
