../../data/IMDB
2024-12-18 18:04:18
Graph(num_nodes=21420, num_edges=108062,
      ndata_schemes={}
      edata_schemes={})
4
model using: slotGAT
Epoch 00000 | Train_Loss: 0.7164 | train Time: 0.6135 | Val_Loss 0.6310 | val Time(s) 0.0851
Epoch 00001 | Train_Loss: 0.6371 | train Time: 0.2102 | Val_Loss 0.6304 | val Time(s) 0.1031
Epoch 00002 | Train_Loss: 0.6336 | train Time: 0.2114 | Val_Loss 0.6300 | val Time(s) 0.0987
Epoch 00003 | Train_Loss: 0.6337 | train Time: 0.2104 | Val_Loss 0.6296 | val Time(s) 0.0973
Epoch 00004 | Train_Loss: 0.6334 | train Time: 0.2097 | Val_Loss 0.6292 | val Time(s) 0.0922
Epoch 00005 | Train_Loss: 0.6327 | train Time: 0.2107 | Val_Loss 0.6288 | val Time(s) 0.0925
Epoch 00006 | Train_Loss: 0.6328 | train Time: 0.2187 | Val_Loss 0.6284 | val Time(s) 0.0936
Epoch 00007 | Train_Loss: 0.6322 | train Time: 0.2216 | Val_Loss 0.6278 | val Time(s) 0.0934
Epoch 00008 | Train_Loss: 0.6311 | train Time: 0.2208 | Val_Loss 0.6271 | val Time(s) 0.0936
Epoch 00009 | Train_Loss: 0.6304 | train Time: 0.2166 | Val_Loss 0.6263 | val Time(s) 0.1092
Epoch 00010 | Train_Loss: 0.6299 | train Time: 0.2118 | Val_Loss 0.6253 | val Time(s) 0.0970
Epoch 00011 | Train_Loss: 0.6286 | train Time: 0.2136 | Val_Loss 0.6239 | val Time(s) 0.0915
Epoch 00012 | Train_Loss: 0.6274 | train Time: 0.2194 | Val_Loss 0.6220 | val Time(s) 0.0920
Epoch 00013 | Train_Loss: 0.6260 | train Time: 0.2180 | Val_Loss 0.6193 | val Time(s) 0.0971
Epoch 00014 | Train_Loss: 0.6240 | train Time: 0.2108 | Val_Loss 0.6154 | val Time(s) 0.0925
Epoch 00015 | Train_Loss: 0.6196 | train Time: 0.2120 | Val_Loss 0.6093 | val Time(s) 0.0942
Epoch 00016 | Train_Loss: 0.6174 | train Time: 0.2204 | Val_Loss 0.6045 | val Time(s) 0.0924
