../../data/PubMed_NC
2024-12-18 18:01:05
Graph(num_nodes=63109, num_edges=421033,
      ndata_schemes={}
      edata_schemes={})
4
model using: slotGAT
Epoch 00000 | Train_Loss: 2.1195 | train Time: 0.8466 | Val_Loss 1.9260 | val Time(s) 0.1938
Epoch 00001 | Train_Loss: 2.0420 | train Time: 0.4931 | Val_Loss 1.9239 | val Time(s) 0.2513
Epoch 00002 | Train_Loss: 2.0167 | train Time: 0.4792 | Val_Loss 1.9156 | val Time(s) 0.2469
Epoch 00003 | Train_Loss: 1.9757 | train Time: 0.4749 | Val_Loss 1.9109 | val Time(s) 0.2377
Epoch 00004 | Train_Loss: 1.9250 | train Time: 0.4830 | Val_Loss 1.8807 | val Time(s) 0.2326
Epoch 00005 | Train_Loss: 1.8922 | train Time: 0.4825 | Val_Loss 1.8487 | val Time(s) 0.2378
Epoch 00006 | Train_Loss: 1.8632 | train Time: 0.4741 | Val_Loss 1.8142 | val Time(s) 0.2338
Epoch 00007 | Train_Loss: 1.8557 | train Time: 0.4693 | Val_Loss 1.7865 | val Time(s) 0.2544
Epoch 00008 | Train_Loss: 1.7994 | train Time: 0.4774 | Val_Loss 1.7659 | val Time(s) 0.2353
Epoch 00009 | Train_Loss: 1.8157 | train Time: 0.4701 | Val_Loss 1.7465 | val Time(s) 0.2452
Epoch 00010 | Train_Loss: 1.7915 | train Time: 0.4763 | Val_Loss 1.7327 | val Time(s) 0.2423
Epoch 00011 | Train_Loss: 1.7930 | train Time: 0.4771 | Val_Loss 1.7273 | val Time(s) 0.2350
Epoch 00012 | Train_Loss: 1.7564 | train Time: 0.4706 | Val_Loss 1.7251 | val Time(s) 0.2394
Epoch 00013 | Train_Loss: 1.7495 | train Time: 0.4856 | Val_Loss 1.7261 | val Time(s) 0.2483
Epoch 00014 | Train_Loss: 1.7466 | train Time: 0.4791 | Val_Loss 1.7272 | val Time(s) 0.2398
Epoch 00015 | Train_Loss: 1.7200 | train Time: 0.4765 | Val_Loss 1.7265 | val Time(s) 0.2467
Epoch 00016 | Train_Loss: 1.7193 | train Time: 0.4808 | Val_Loss 1.7287 | val Time(s) 0.2386
Epoch 00017 | Train_Loss: 1.6913 | train Time: 0.4712 | Val_Loss 1.7335 | val Time(s) 0.2342
Epoch 00018 | Train_Loss: 1.7175 | train Time: 0.4823 | Val_Loss 1.7339 | val Time(s) 0.2465
Epoch 00019 | Train_Loss: 1.6627 | train Time: 0.4792 | Val_Loss 1.7296 | val Time(s) 0.2383
Epoch 00020 | Train_Loss: 1.6820 | train Time: 0.4773 | Val_Loss 1.7231 | val Time(s) 0.2462
Epoch 00021 | Train_Loss: 1.6717 | train Time: 0.4789 | Val_Loss 1.7207 | val Time(s) 0.2381
Epoch 00022 | Train_Loss: 1.6391 | train Time: 0.4759 | Val_Loss 1.7228 | val Time(s) 0.2361
Epoch 00023 | Train_Loss: 1.6511 | train Time: 0.4758 | Val_Loss 1.7275 | val Time(s) 0.2397
Epoch 00024 | Train_Loss: 1.6476 | train Time: 0.4798 | Val_Loss 1.7353 | val Time(s) 0.2383
Epoch 00025 | Train_Loss: 1.6062 | train Time: 0.4783 | Val_Loss 1.7424 | val Time(s) 0.2372
Epoch 00026 | Train_Loss: 1.5976 | train Time: 0.4831 | Val_Loss 1.7438 | val Time(s) 0.2515
Epoch 00027 | Train_Loss: 1.6166 | train Time: 0.4786 | Val_Loss 1.7427 | val Time(s) 0.2463
Epoch 00028 | Train_Loss: 1.5857 | train Time: 0.4757 | Val_Loss 1.7381 | val Time(s) 0.2426
Epoch 00029 | Train_Loss: 1.6046 | train Time: 0.4775 | Val_Loss 1.7347 | val Time(s) 0.2370
Epoch 00030 | Train_Loss: 1.5688 | train Time: 0.4730 | Val_Loss 1.7351 | val Time(s) 0.2366
Epoch 00031 | Train_Loss: 1.5532 | train Time: 0.4770 | Val_Loss 1.7357 | val Time(s) 0.2387
Epoch 00032 | Train_Loss: 1.5558 | train Time: 0.4755 | Val_Loss 1.7358 | val Time(s) 0.2411
Epoch 00033 | Train_Loss: 1.5805 | train Time: 0.4809 | Val_Loss 1.7369 | val Time(s) 0.2386
Epoch 00034 | Train_Loss: 1.5583 | train Time: 0.4871 | Val_Loss 1.7371 | val Time(s) 0.2359
Epoch 00035 | Train_Loss: 1.5352 | train Time: 0.4600 | Val_Loss 1.7400 | val Time(s) 0.2560
Epoch 00036 | Train_Loss: 1.5521 | train Time: 0.4784 | Val_Loss 1.7431 | val Time(s) 0.2312
Epoch 00037 | Train_Loss: 1.5038 | train Time: 0.4735 | Val_Loss 1.7461 | val Time(s) 0.2554
Epoch 00038 | Train_Loss: 1.5142 | train Time: 0.4918 | Val_Loss 1.7426 | val Time(s) 0.2405
Epoch 00039 | Train_Loss: 1.5193 | train Time: 0.4744 | Val_Loss 1.7381 | val Time(s) 0.2383
Epoch 00040 | Train_Loss: 1.5021 | train Time: 0.4860 | Val_Loss 1.7354 | val Time(s) 0.2363
Epoch 00041 | Train_Loss: 1.5130 | train Time: 0.4822 | Val_Loss 1.7329 | val Time(s) 0.2291
Epoch 00042 | Train_Loss: 1.4936 | train Time: 0.4657 | Val_Loss 1.7305 | val Time(s) 0.2406
Epoch 00043 | Train_Loss: 1.5026 | train Time: 0.4864 | Val_Loss 1.7289 | val Time(s) 0.2503
Epoch 00044 | Train_Loss: 1.4848 | train Time: 0.4724 | Val_Loss 1.7283 | val Time(s) 0.2497
Epoch 00045 | Train_Loss: 1.4962 | train Time: 0.4799 | Val_Loss 1.7254 | val Time(s) 0.2384
Epoch 00046 | Train_Loss: 1.4623 | train Time: 0.4784 | Val_Loss 1.7225 | val Time(s) 0.2346
Epoch 00047 | Train_Loss: 1.4936 | train Time: 0.4776 | Val_Loss 1.7200 | val Time(s) 0.2342
Epoch 00048 | Train_Loss: 1.4724 | train Time: 0.4749 | Val_Loss 1.7197 | val Time(s) 0.2357
Epoch 00049 | Train_Loss: 1.4632 | train Time: 0.4749 | Val_Loss 1.7210 | val Time(s) 0.2376
Epoch 00050 | Train_Loss: 1.4721 | train Time: 0.4781 | Val_Loss 1.7239 | val Time(s) 0.2639
Epoch 00051 | Train_Loss: 1.4614 | train Time: 0.4706 | Val_Loss 1.7274 | val Time(s) 0.2601
Epoch 00052 | Train_Loss: 1.4605 | train Time: 0.4787 | Val_Loss 1.7243 | val Time(s) 0.2331
Epoch 00053 | Train_Loss: 1.4629 | train Time: 0.4684 | Val_Loss 1.7152 | val Time(s) 0.2355
Epoch 00054 | Train_Loss: 1.4506 | train Time: 0.4790 | Val_Loss 1.7055 | val Time(s) 0.2342
Epoch 00055 | Train_Loss: 1.4501 | train Time: 0.4835 | Val_Loss 1.7049 | val Time(s) 0.2396
Epoch 00056 | Train_Loss: 1.4576 | train Time: 0.4887 | Val_Loss 1.7129 | val Time(s) 0.2408
Epoch 00057 | Train_Loss: 1.4507 | train Time: 0.4713 | Val_Loss 1.7212 | val Time(s) 0.2377
Epoch 00058 | Train_Loss: 1.4611 | train Time: 0.4697 | Val_Loss 1.7283 | val Time(s) 0.2411
Epoch 00059 | Train_Loss: 1.4343 | train Time: 0.4758 | Val_Loss 1.7323 | val Time(s) 0.2371
Epoch 00060 | Train_Loss: 1.4581 | train Time: 0.4701 | Val_Loss 1.7278 | val Time(s) 0.2346
Epoch 00061 | Train_Loss: 1.4202 | train Time: 0.4759 | Val_Loss 1.7203 | val Time(s) 0.2353
Epoch 00062 | Train_Loss: 1.4253 | train Time: 0.4713 | Val_Loss 1.7130 | val Time(s) 0.2573
Epoch 00063 | Train_Loss: 1.4437 | train Time: 0.4770 | Val_Loss 1.7145 | val Time(s) 0.2405
